Choice,Movie,When?,Gabryel's Rating,Gabryel - Liked?,Camila's Rating,Camila - Liked?,Year,Duration,Director,IMDB Rating,Genre,Country,Link,IMDB Id
G,Millenium Actress,03/01/2026,Muito bom,Gostei!,Regular,Gostei!,2001,87 min,Satoshi Kon,7.8,"Animation, Drama, Fantasy",Japan,https://www.animeout.xyz/sennen-joyuu-main2001moviecomplete/,tt0291350
C,The Internet's Own Boy: The Story of Aaron Swartz,10/01/2026,Muito bom,Gostei!,Muito bom,Gostei!,2014,105 min,Brian Knappenberger,8.0,"Documentary, Biography, Crime",United States,https://www.youtube.com/watch?v=9vz06QO3UkQ&rco=1,tt3268458
G,Exorcist,17/01/2026,Bom,Gostei!,Muito bom,Desgostei,1973,122 min,William Friedkin,8.1,Horror,United States,HBO,tt0070047
C,Dogville,24/01/2026,Muito bom,Gostei!,Horrível,Detestei,2003,171 min,Lars von Trier,8.0,"Crime, Drama","Denmark, Netherlands, Sweden, Germany, United Kingdom, France, Finland, Norway, Italy",MUBI,tt0276919
G,Rosemary Baby,31/01/2026,Bom,Gostei!,Muito bom,Gostei!,1968,137 min,Roman Polanski,8.0,"Drama, Horror",United States,magnet:?xt=urn:btih:DABF4E117ECD556375F5E763943B023322C2C5D3&dn=Rosemarys.Baby.1968.1080p.BluRay.x265-RBG&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://exodus.desync.com:6969/announce&tr=udp://9.rarbg.me:2970/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://opentor.org:2710/announce&tr=udp://tracker.torrent.eu.org:451/announce&tr=udp://explodie.org:6969/announce&tr=udp://tracker.moeking.me:6969/announce&tr=udp://tracker.cyberia.is:6969/announce&tr=udp://9.rarbg.me:2980/announce&tr=udp://9.rarbg.to:2940/announce&tr=udp://tracker.uw0.xyz:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=http://tracker.openbittorrent.com:80/announce&tr=udp://opentracker.i2p.rocks:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechers-paradise.org:6969/announce&tr=udp://coppersurfer.tk:6969/announce&tr=udp://tracker.zer0day.to:1337/announce,tt0063522
C,Black Swan,07/02/2026,Excepcional!,Adorei,Excepcional!,Adorei,2010,108 min,Darren Aronofsky,8.0,"Drama, Thriller",United States,,tt0947798
G,Perfect Blue,14/02/2026,Muito bom,Gostei!,Bom,Desgostei,1997,82 min,Satoshi Kon,8.0,"Animation, Crime, Drama",Japan,www.animeout.xyz/perfectblue/,tt0156887
C,Kimi,21/02/2026,Bom,Gostei!,Bom,Gostei!,2022,89 min,Steven Soderbergh,6.3,"Crime, Drama, Mystery",United States,HBO Max,tt14128670
G,The Godfather Part I,28/02/2026,Muito bom,Gostei!,Muito bom,Adorei,1972,175 min,Francis Ford Coppola,9.2,"Crime, Drama",United States,,tt0068646
C,The Godfather Part II,07/03/2026,Excepcional!,Adorei,Muito bom,Gostei!,1974,202 min,Francis Ford Coppola,9.0,"Crime, Drama",United States,,tt0071562
G,The Godfather Part III,14/03/2026,Muito bom,Gostei!,Muito bom,Gostei!,1990,162 min,Francis Ford Coppola,7.5,"Crime, Drama",United States,,tt0099674
G,O Agente Secreto,21/03/2026,Bom,Gostei!,Regular,Gostei!,2025,161 min,Kleber Mendonça Filho,7.3,"Crime, Drama, Mystery","Brazil, France, Netherlands, Germany",,tt27847051
C,Eyes Wide Shut,28/03/2026,Muito bom,Gostei!,Excepcional!,Adorei,1999,159 min,Stanley Kubrick,7.5,"Drama, Mystery, Thriller","United Kingdom, United States",,tt0120663
C,Lux Æterna,04/04/2026,Ruim,Desgostei,Muito bom,Adorei,2019,51 min,Gaspar Noé,6.2,"Drama, Thriller",France,,tt10272534
G,O Filho de Mil Homens,11/04/2026,Excepcional!,Adorei,Excepcional!,Adorei,2025,N/A,Daniel Rezende,N/A,Drama,Brazil,,tt33402908
C,Dream Hacker,18/04/2026,Horrível,Gostei!,Horrível,Desgostei,2025,105 min,Richard Colton,N/A,Sci-Fi,United Kingdom,,tt14812244
G,Contratiempo,25/04/2026,Bom,Gostei!,Muito bom,Gostei!,2016,106 min,Oriol Paulo,8.0,"Crime, Drama, Mystery",Spain,drive,tt4857264
C,Castle in the Sky,02/05/2026,Bom,Adorei,Muito bom,Adorei,1986,124 min,Hayao Miyazaki,8.0,"Animation, Adventure, Family",Japan,https://www.netflix.com/br-en/title/60027393?source=35&fromWatch=true,tt0092067
G,Bohemian Rhapsody,09/05/2026,Bom,Adorei,Muito bom,Adorei,2018,134 min,Bryan Singer,7.9,"Biography, Drama, Music","United Kingdom, United States",,tt1727824
C,My Neighbor Totoro,16/05/2026,Bom,Gostei!,Muito bom,Adorei,1988,86 min,Hayao Miyazaki,8.1,"Animation, Adventure, Comedy",Japan,,tt0096283
G,Medida Provisória,23/05/2026,Muito bom,Gostei!,Bom,Desgostei,2020,103 min,"Lázaro Ramos, Flávia Lacerda",6.6,"Drama, Sci-Fi",Brazil,,tt10395866
C,Grave of the Fireflies,30/05/2026,Excepcional!,Gostei!,Excepcional!,Desgostei,1988,88 min,Isao Takahata,8.5,"Animation, Drama, War",Japan,,tt0095327
G,Rental Family,06/06/2026,Muito bom,Gostei!,Excepcional!,Adorei,2025,103 min,Hikari,7.6,"Comedy, Drama","Japan, United States",,tt14142060
C,Kiki's Delivery Service,13/06/2026,Muito bom,Adorei,Muito bom,Gostei!,1989,103 min,Hayao Miyazaki,7.8,"Animation, Family, Fantasy",Japan,,tt0097814
G,Jesus Christ Superstar,20/06/2026,Bom,Gostei!,Horrível,Detestei,1973,106 min,Norman Jewison,7.4,"Drama, History, Musical",United States,,tt0070239
C,Only Yesterday,27/06/2026,Bom,Gostei!,Muito bom,Gostei!,1991,119 min,Isao Takahata,7.6,"Animation, Drama, Romance","Japan, United States",,tt0102587
G,Omen,04/07/2026,Bom,Gostei!,Bom,Desgostei,1976,111 min,Richard Donner,7.5,"Horror, Mystery","United Kingdom, United States",,tt0075005
C,Porco Rosso,11/07/2026,Muito bom,Adorei,Muito bom,Gostei!,1992,94 min,Hayao Miyazaki,7.7,"Animation, Adventure, Comedy",Japan,,tt0104652
G,The First Omen,18/07/2026,Bom,Gostei!,Bom,Desgostei,2024,119 min,Arkasha Stevenson,6.5,Horror,"United States, Italy, Serbia, Canada",magnet:?xt=urn:btih:A11D2802AFEA2AA67A0291ECC879621B6E973EB0&dn=The.First.Omen.2024.1080p.WEBRip.1400MB.DD5.1.x264-GalaxyRG&tr=udp://open.stealth.si:80/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://tracker.torrent.eu.org:451/announce&tr=udp://explodie.org:6969/announce&tr=udp://tracker.cyberia.is:6969/announce&tr=udp://ipv4.tracker.harry.lu:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://tracker.birkenwald.de:6969/announce&tr=udp://tracker.moeking.me:6969/announce&tr=udp://opentor.org:2710/announce&tr=udp://tracker.dler.org:6969/announce&tr=udp://uploads.gamecoast.net:6969/announce&tr=https://tracker.foreverpirates.co:443/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=http://tracker.openbittorrent.com:80/announce&tr=udp://opentracker.i2p.rocks:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechers-paradise.org:6969/announce&tr=udp://coppersurfer.tk:6969/announce&tr=udp://tracker.zer0day.to:1337/announce,tt5672290
