Choice,Movie,When?,Person A's Rating,Person A - Liked?,Person B's Rating,Person B - Liked?,Year,Duration,Director,IMDB Rating,Genre,Country,Where to watch?,IMDB Id
A,,02/01/2027,,,,,,,,,,,https://www.animeout.xyz/sennen-joyuu-main2001moviecomplete/,
B,The Wind Rises,09/01/2027,,,,,2013,126 min,Hayao Miyazaki,7.8,"Animation, Biography, Drama",Japan,https://www.youtube.com/watch?v=9vz06QO3UkQ&rco=1,tt2013293
A,,16/01/2027,,,,,,,,,,,,
B,The Tale of the Princess Kaguya,23/01/2027,,,,,,,,,,,,
A,,30/01/2027,,,,,,,,,,,,
B,When Marnie Was There,06/02/2027,,,,,,,,,,,,
A,,13/02/2027,,,,,,,,,,,,
B,The Red Turtle,20/02/2027,,,,,,,,,,,,
A,,27/02/2027,,,,,,,,,,,,
B,The Boy and the Heron,06/03/2027,,,,,,,,,,,,
A,,13/03/2027,,,,,,,,,,,,
B,Earwig and the Witch,20/03/2027,,,,,,,,,,,,
A,Night of the Living Dead,27/03/2027,,,,,1968,96 min,George A. Romero,7.8,"Horror, Thriller",United States,,tt0063350
B,,03/04/2027,,,,,,,,,,,,
A,,10/04/2027,,,,,,,,,,,,
B,,17/04/2027,,,,,,,,,,,,
A,,24/04/2027,,,,,,,,,,,,
B,,01/05/2027,,,,,,,,,,,,
A,,08/05/2027,,,,,,,,,,,,
B,,15/05/2027,,,,,,,,,,,,
A,,22/05/2027,,,,,,,,,,,,
B,,29/05/2027,,,,,,,,,,,,
A,,05/06/2027,,,,,,,,,,,,
B,,12/06/2027,,,,,,,,,,,,
A,,19/06/2027,,,,,,,,,,,,
B,,26/06/2027,,,,,,,,,,,,
A,,03/07/2027,,,,,,,,,,,,
B,,10/07/2027,,,,,,,,,,,,
A,,17/07/2027,,,,,,,,,,,,
B,,24/07/2027,,,,,,,,,,,,
A,,31/07/2027,,,,,,,,,,,,
B,,07/08/2027,,,,,,,,,,,,
A,,14/08/2027,,,,,,,,,,,,
B,,21/08/2027,,,,,,,,,,,,
A,,28/08/2027,,,,,,,,,,,,
B,,04/09/2027,,,,,,,,,,,,
A,,11/09/2027,,,,,,,,,,,,
B,,18/09/2027,,,,,,,,,,,,
A,,25/09/2027,,,,,,,,,,,,
B,,02/10/2027,,,,,,,,,,,,
A,,09/10/2027,,,,,,,,,,,,
B,,16/10/2027,,,,,,,,,,,,
A,,23/10/2027,,,,,,,,,,,,
B,,30/10/2027,,,,,,,,,,,,
A,,06/11/2027,,,,,,,,,,,,
B,,13/11/2027,,,,,,,,,,,,
A,,20/11/2027,,,,,,,,,,,,
B,,27/11/2027,,,,,,,,,,,,
A,,04/12/2027,,,,,,,,,,,,
B,,11/12/2027,,,,,,,,,,,,
A,,18/12/2027,,,,,,,,,,,,
B,,25/12/2027,,,,,,,,,,,,
