Movies,,Series,
Person A,Person B,Person A,Person B
Anne+,Deception,Dark,Game of Thrones
Wolf Walkers ,Erin Brockovich,Monster,Ted Lasso
The Crow,Y Tu Mama Tambien,Person of Interest,
Pinocchio,Substance,Devs,
The Boy and the Heron,O Último Azul,Pluto,
Son of the White Mare,Saving Private Ryan,The Pitt,
A Silent Voice,Reservoir dogs ,Altered Carbon,
Gone Girl,,Legion,
O Cheiro do Ralo,,Mad Men,
Shakespeare in Love,,Chernobyl,
Time Bandits,,Arcane,
The Zero Theorem,,Succession,
Perfect Days,,True Detective,
The Fly,,Andor,
Titane,,Scavengers Reign,
The Great Dictator,,The Expanse,
The Green Knight,,The Marvelous Mrs. Maisel,
Marebito,,,
What Dreams May Come,,,
Flow,,,
Mickey 17,,,
Casino,,,
Prince of Egypt,,,
Last Night in Soho,,,
All Her Fault,,,
American Hustle,,,
The Day of the Jackal,,,
The Tragedy of Man,,,
Faust,,,
The Girl Who Lept Throught Time,,,
Weapons,,,
Bugonia,,,
Memories,,,
The House that Jack Built,,,
Our Little Sister,,,
Jacob's Ladder,,,
The Rocky Horror Picture Show,,,
Solaris (1972),,,
Solaris (2002),,,
The Fall,,,
Rambo,,,
5 to 7,,,
Secuestro Expres,,,
Pajaros de Verano,,,
Libertador,,,
El Robo del Siglo,,,
El Secreto de Sus Ojos,,,
Exhuma,,,
A Little Bit of Heaven,,,
Highlander,,,
Coherence,,,
7 Prisioneiros,,,
Mr Nobody Against Putin,,,
Tropa de Elite,,,
Atlantis: The Lost Empire,,,
Sweet November,,,
PS I Love You,,,
City of Angels,,,
Frankenstein (2025),,,
Mihai Viteazul,,,
Portretul luptătorului la tinerețe,,,
De ce eu?,,,
California Dreamin,,,
Aferim!,,,
Filantropica,,,
The Triplets of Belleville,,,
Vantage Point,,,
Leviathan,,,
Nueve Reinas,,,
Hair,,,
"The Night Is Short, Walk On Girl",,,
Backrooms,,,
Obsession,,,
"The Good, the Bad and the Ugly",,,
Jennifer's Body,,,
