Choice,Movie,When?,Gabryel's Rating,Gabryel - Liked?,Camila's Rating,Camila - Liked?
G,Twin Peaks,,Muito bom,Gostei!,,
,Season 1,,Muito bom,Gostei!,,
1,Northwest Passage,,,,,
2,Traces to Nowhere,,,,,
3,"Zen, or the Skill to Catch a Killer",,,,,
4,Rest in Pain,,,,,
5,The One-Armed Man,,,,,
6,Cooper's Dreams,,,,,
7,Realization Time,,,,,
8,The Last Evening,,,,,
,,,,,,
,Season 2,,Bom,Gostei!,,
1,May the Giant Be with You,,,,,
2,Coma,,,,,
3,The Man Behind the Glass,,,,,
4,Laura's Secret Diary,,,,,
5,The Orchid's Curse,,,,,
6,Demons,,,,,
7,Lonely Souls,,,,,
8,Drive with a Dead Girl,,,,,
9,Arbitrary Law,,,,,
10,Dispute Between Brothers,,,,,
11,Masked Ball,,,,,
12,The Black Widow,,,,,
13,Checkmate,,,,,
14,Double Play,,,,,
15,Slaves and Masters,06/09/2025,,,,
16,The Condemned Woman,06/09/2025,,,,
17,Wounds and Scars,13/09/2025,,,,
18,On the Wings of Love,08/11/2025,,,,
19,Variations on Relations,15/11/2025,,,,
20,The Path to the Black Lodge,15/11/2025,,,,
21,Miss Twin Peaks,22/11/2025,,,,
22,Beyond Life and Death,22/11/2025,,,,
,,,,,,
,Season 3,,Ruim,Desgostei,,
1,My Log Has a Message for You,10/01/2026,,,,
2,The Stars Turn and a Time Presents Itself,10/01/2026,,,,
3,Call for Help,17/01/2026,,,,
4,... Brings Back Some Memories,17/01/2026,,,,
5,Case Files,24/01/2026,,,,
6,Don't Die,24/01/2026,,,,
7,There's a Body All Right,31/01/2026,,,,
8,Gotta Light?,31/01/2026,,,,
9,This Is the Chair,07/02/2026,,,,
10,Laura Is the One,07/02/2026,,,,
11,There's Fire Where You Are Going,14/02/2026,,,,
12,Let's Rock,14/02/2026,,,,
13,"What Story is That, Charlie?",21/02/2026,,,,
14,We Are Like the Dreamer,21/02/2026,,,,
15,There's Some Fear in Letting Go,28/02/2026,,,,
16,"No Knock, No Doorbell",28/02/2026,,,,
17,The Past Dictates the Future,07/03/2026,,,,
18,What Is Your Name?,07/03/2026,,,,
,,,,,,
C,The Peripheral,,Muito bom,Gostei!,Excepcional!,Adorei
1,The Pilot,06/06/2026,Muito bom,Gostei!,Excepcional!,Adorei
2,Empathy Bonus,13/06/2026,Bom,Gostei!,Bom,Adorei
3,Haptic Drift,,Muito bom,Adorei,Muito bom,Adorei
4,Jackpot,20/06/2026,Muito bom,Adorei,Excepcional!,Adorei
5,What about Bob?,,Muito bom,Adorei,Excepcional!,Adorei
6,Fuck you and eat shit,,Excepcional!,Adorei,Excepcional!,Adorei
7,The Doodad,27/06/2026,Muito bom,Gostei!,Excepcional!,Adorei
8,The creation of a thousand forests,,Bom,Gostei!,Excepcional!,Adorei
,,,,,,
G,Cowboy Bebop,,,,,
1,Asteroid Blues,25/07/2026,Muito bom,Adorei,Regular,Desgostei
2,Stray Dog Strut,,Bom,Gostei!,Bom,Gostei!
3,Honky Tonk Women,,Muito bom,Gostei!,Muito bom,Gostei!
4,Gateway Shuffle,01/08/2026,Bom,Gostei!,Muito bom,Gostei!
5,Ballad of Fallen Angels,08/08/2026,,,,
6,Sympathy for the Devil,,,,,
7,Heavy Metal Queen,,,,,
8,Waltz for Venus,,,,,
9,Jamming with Edward,,,,,
10,Ganymede Elegy,,,,,
11,Toys in the Attic,,,,,
12,Jupiter Jazz (Part 1),,,,,
13,Jupiter Jazz (Part 2),,,,,
14,Bohemian Rhapsody,15/08/2026,,,,
15,My Funny Valentine,,,,,
16,Black Dog Serenade,,,,,
17,Mushroom Samba,,,,,
18,Speak Like a Child,,,,,
19,Wild Horses,,,,,
20,Pierrot le Fou,,,,,
21,Boogie Woogie Feng Shui,,,,,
22,Cowboy Funk,,,,,
23,Brain Scratch,,,,,
24,Hard Luck Woman,,,,,
25,The Real Folk Blues (Part 1),,,,,
26,The Real Folk Blues (Part 2),,,,,
,,,,,,
Film,Cowboy Bebop: Knockin' on Heaven's Door,#VALUE!,,,,
,,,,,,
C,,,,,,
